trade_id,symbol,timestamp,entry_score,entry_price,pnl_usd,pnl_pct,hold_minutes,source
SLB_2026-02-19T14:55:00+00:00,SLB,2026-02-19T14:55:00+00:00,2.566,52.12,-19.19,-0.1919,5,simulation
SLB_2026-02-19T14:56:00+00:00,SLB,2026-02-19T14:56:00+00:00,2.566,52.05,-3.84,-0.0384,5,simulation
SLB_2026-02-19T14:57:00+00:00,SLB,2026-02-19T14:57:00+00:00,2.566,51.88,11.57,0.1157,5,simulation
SLB_2026-02-19T14:58:00+00:00,SLB,2026-02-19T14:58:00+00:00,2.566,52.08,-19.2,-0.192,5,simulation
SLB_2026-02-19T14:59:00+00:00,SLB,2026-02-19T14:59:00+00:00,2.566,52.125,-47.0,-0.47,5,simulation
SLB_2026-02-19T15:00:00+00:00,SLB,2026-02-19T15:00:00+00:00,2.566,52.02,1.92,0.0192,5,simulation
SLB_2026-02-19T15:01:00+00:00,SLB,2026-02-19T15:01:00+00:00,2.566,52.03,2.88,0.0288,5,simulation
SLB_2026-02-19T15:02:00+00:00,SLB,2026-02-19T15:02:00+00:00,2.566,51.94,17.33,0.1733,5,simulation
SLB_2026-02-19T15:03:00+00:00,SLB,2026-02-19T15:03:00+00:00,2.566,51.98,-14.43,-0.1443,5,simulation
SLB_2026-02-19T15:04:00+00:00,SLB,2026-02-19T15:04:00+00:00,2.566,51.88,15.42,0.1542,5,simulation
SLB_2026-02-19T15:05:00+00:00,SLB,2026-02-19T15:05:00+00:00,2.566,52.03,22.1,0.221,5,simulation
SLB_2026-02-19T15:06:00+00:00,SLB,2026-02-19T15:06:00+00:00,2.566,52.045,9.61,0.0961,5,simulation
SLB_2026-02-19T15:07:00+00:00,SLB,2026-02-19T15:07:00+00:00,2.566,52.03,0.96,0.0096,5,simulation
SLB_2026-02-19T15:08:00+00:00,SLB,2026-02-19T15:08:00+00:00,2.566,51.905,2.89,0.0289,5,simulation
SLB_2026-02-19T15:09:00+00:00,SLB,2026-02-19T15:09:00+00:00,2.566,51.96,-14.43,-0.1443,5,simulation
SLB_2026-02-19T15:10:00+00:00,SLB,2026-02-19T15:10:00+00:00,2.565,52.145,-46.98,-0.4698,5,simulation
SLB_2026-02-19T15:11:00+00:00,SLB,2026-02-19T15:11:00+00:00,2.565,52.095,-32.63,-0.3263,5,simulation
SLB_2026-02-19T15:12:00+00:00,SLB,2026-02-19T15:12:00+00:00,2.565,52.035,-18.26,-0.1826,5,simulation
SLB_2026-02-19T15:13:00+00:00,SLB,2026-02-19T15:13:00+00:00,2.565,51.92,-6.74,-0.0674,5,simulation
SLB_2026-02-19T15:14:00+00:00,SLB,2026-02-19T15:14:00+00:00,2.565,51.885,2.89,0.0289,5,simulation
SLB_2026-02-19T15:15:00+00:00,SLB,2026-02-19T15:15:00+00:00,2.565,51.9,-8.67,-0.0867,5,simulation
SLB_2026-02-19T15:16:00+00:00,SLB,2026-02-19T15:16:00+00:00,2.565,51.925,-18.26,-0.1826,5,simulation
SLB_2026-02-19T15:17:00+00:00,SLB,2026-02-19T15:17:00+00:00,2.565,51.94,3.85,0.0385,5,simulation
SLB_2026-02-19T15:18:00+00:00,SLB,2026-02-19T15:18:00+00:00,2.565,51.885,6.75,0.0675,5,simulation
SLB_2026-02-19T15:19:00+00:00,SLB,2026-02-19T15:19:00+00:00,2.565,51.9,18.3,0.183,5,simulation
SLB_2026-02-19T15:20:00+00:00,SLB,2026-02-19T15:20:00+00:00,2.563,51.855,10.61,0.1061,5,simulation
SLB_2026-02-19T15:21:00+00:00,SLB,2026-02-19T15:21:00+00:00,2.563,51.8302,3.82,0.0382,5,simulation
SLB_2026-02-19T15:22:00+00:00,SLB,2026-02-19T15:22:00+00:00,2.563,51.96,-39.45,-0.3945,5,simulation
SLB_2026-02-19T15:23:00+00:00,SLB,2026-02-19T15:23:00+00:00,2.563,51.92,-42.37,-0.4237,5,simulation
SLB_2026-02-19T15:24:00+00:00,SLB,2026-02-19T15:24:00+00:00,2.563,51.995,-49.04,-0.4904,5,simulation
SLB_2026-02-19T15:25:00+00:00,SLB,2026-02-19T15:25:00+00:00,2.563,51.91,-57.79,-0.5779,5,simulation
SLB_2026-02-19T15:26:00+00:00,SLB,2026-02-19T15:26:00+00:00,2.563,51.85,-19.29,-0.1929,5,simulation
SLB_2026-02-19T15:27:00+00:00,SLB,2026-02-19T15:27:00+00:00,2.563,51.755,8.69,0.0869,5,simulation
SLB_2026-02-19T15:28:00+00:00,SLB,2026-02-19T15:28:00+00:00,2.563,51.7,19.34,0.1934,5,simulation
SLB_2026-02-19T15:29:00+00:00,SLB,2026-02-19T15:29:00+00:00,2.563,51.74,-7.73,-0.0773,5,simulation
SLB_2026-02-19T15:30:00+00:00,SLB,2026-02-19T15:30:00+00:00,2.563,51.61,17.44,0.1744,5,simulation
SLB_2026-02-19T15:31:00+00:00,SLB,2026-02-19T15:31:00+00:00,2.563,51.75,-7.73,-0.0773,5,simulation
SLB_2026-02-19T15:32:00+00:00,SLB,2026-02-19T15:32:00+00:00,2.563,51.8,-19.31,-0.1931,5,simulation
SLB_2026-02-19T15:33:00+00:00,SLB,2026-02-19T15:33:00+00:00,2.563,51.8,-20.27,-0.2027,5,simulation
SLB_2026-02-19T15:34:00+00:00,SLB,2026-02-19T15:34:00+00:00,2.563,51.7,-5.8,-0.058,5,simulation
SLB_2026-02-19T15:35:00+00:00,SLB,2026-02-19T15:35:00+00:00,2.563,51.7,-8.7,-0.087,5,simulation
SLB_2026-02-19T15:36:00+00:00,SLB,2026-02-19T15:36:00+00:00,2.563,51.71,2.84,0.0284,5,simulation
SLB_2026-02-19T15:37:00+00:00,SLB,2026-02-19T15:37:00+00:00,2.563,51.7,-8.7,-0.087,5,simulation
SLB_2026-02-19T15:38:00+00:00,SLB,2026-02-19T15:38:00+00:00,2.563,51.695,-20.31,-0.2031,5,simulation
SLB_2026-02-19T15:39:00+00:00,SLB,2026-02-19T15:39:00+00:00,2.561,51.67,-19.35,-0.1935,5,simulation
SLB_2026-02-19T15:40:00+00:00,SLB,2026-02-19T15:40:00+00:00,2.561,51.655,-11.62,-0.1162,5,simulation
SLB_2026-02-19T15:41:00+00:00,SLB,2026-02-19T15:41:00+00:00,2.561,51.7247,-7.68,-0.0768,5,simulation
SLB_2026-02-19T15:42:00+00:00,SLB,2026-02-19T15:42:00+00:00,2.561,51.655,20.33,0.2033,5,simulation
SLB_2026-02-19T15:43:00+00:00,SLB,2026-02-19T15:43:00+00:00,2.561,51.59,38.77,0.3877,5,simulation
SLB_2026-02-19T15:44:00+00:00,SLB,2026-02-19T15:44:00+00:00,2.561,51.57,40.72,0.4072,5,simulation
SLB_2026-02-19T15:45:00+00:00,SLB,2026-02-19T15:45:00+00:00,2.561,51.595,14.54,0.1454,5,simulation
SLB_2026-02-19T15:46:00+00:00,SLB,2026-02-19T15:46:00+00:00,2.561,51.685,-10.64,-0.1064,5,simulation
SLB_2026-02-19T15:47:00+00:00,SLB,2026-02-19T15:47:00+00:00,2.561,51.76,-22.22,-0.2222,5,simulation
SLB_2026-02-19T15:48:00+00:00,SLB,2026-02-19T15:48:00+00:00,2.561,51.79,-23.17,-0.2317,5,simulation
SLB_2026-02-19T15:49:00+00:00,SLB,2026-02-19T15:49:00+00:00,2.561,51.78,-29.03,-0.2903,5,simulation
SLB_2026-02-19T15:50:00+00:00,SLB,2026-02-19T15:50:00+00:00,2.561,51.67,-5.81,-0.0581,5,simulation
SLB_2026-02-19T15:51:00+00:00,SLB,2026-02-19T15:51:00+00:00,2.561,51.63,5.81,0.0581,5,simulation
SLB_2026-02-19T15:52:00+00:00,SLB,2026-02-19T15:52:00+00:00,2.561,51.645,-2.9,-0.029,5,simulation
SLB_2026-02-19T15:53:00+00:00,SLB,2026-02-19T15:53:00+00:00,2.561,51.67,-3.87,-0.0387,5,simulation
SLB_2026-02-19T15:54:00+00:00,SLB,2026-02-19T15:54:00+00:00,2.561,51.6297,4.9,0.049,5,simulation
SLB_2026-02-19T15:55:00+00:00,SLB,2026-02-19T15:55:00+00:00,2.561,51.64,11.62,0.1162,5,simulation
SLB_2026-02-19T15:56:00+00:00,SLB,2026-02-19T15:56:00+00:00,2.561,51.66,0.0,0.0,5,simulation
